,A,NKE,PKI,HOG,MSI,ED,PRU,MCHP,HBI,RF,ETR,IFF,KR,COP,PFG,ZBH,VTR,URBN,BWA,A,EXPD,APD,MAC,DISCK,YUM,MHK,ZION,MOS,PYPL,JPM,ETFC,NAVI,ROP,AMGN,GD,LMT,CVS,AEE,AMG,BF-B,MU,SWN,JNPR,FITB,CLX,CBOE,AIV,XLNX,IRM,WFC,REGN,BAC,FOXA,TWX,COTY,SYY,ORLY,MSI,MAA,MNK,ADS,SHW,NI,STX,EQR,CME,WMT,BBBY,IPG,HIG,BBT,IR,TDG,KMX,HD,SYY,FLIR,EVHC,NVDA,BEN,FLS,PFE,TGNA,DLPH,MAR,CHD,LNC,CF,BBBY,PYPL,AES,ZTS,UHS,PFE,PAYX,URI,REG,CCL,DNB,L
netIncome,684000000,4240000000,292633000,521759000,-155000000,1525000000,7863000000,255400000,61894000,1263000000,-564503000,295665000,1907000000,-855000000,2310400000,1813800000,1361112000,108263000,439900000,684000000,489345000,3000400000,146130000,-337000000,1340000000,971638000,592000000,-107200000,1795000000,24441000000,614000000,292000000,971772000,1979000000,2912000000,2002000000,6622000000,529000000,689500000,669000000,5089000000,1046000000,306200000,2194000000,701000000,400600000,315774000,512381000,183821000,22183000000,1198511000,18232000000,2952000000,5247000000,-422200000,1142503000,1133804000,-155000000,328379000,2134400000,788700000,1772262000,128500000,772000000,603454000,4063400000,9862000000,424858000,579000000,-3131000000,2394000000,1302600000,596887000,664112000,8630000000,1142503000,107223000,-228000000,3047000000,1696700000,2652000,21308000000,273744000,285000000,1372000000,743400000,2079000000,367000000,424858000,1795000000,-1161000000,864000000,752303000,21308000000,817300000,1346000000,176077000,2606000000,140900000,1164000000
netIncomeApplicableToCommonShares,684000000,4240000000,292633000,521759000,-155000000,1525000000,7863000000,255400000,61894000,1199000000,-583618000,295665000,1907000000,-855000000,2310400000,1813800000,1356470000,108263000,439900000,684000000,489345000,3000400000,146130000,-337000000,1340000000,971638000,550000000,-107200000,1795000000,22567000000,589000000,292000000,971772000,1979000000,2912000000,2002000000,6622000000,529000000,689500000,669000000,5089000000,815000000,306200000,2119000000,701000000,396700000,306861000,512381000,183821000,20554000000,1198511000,16618000000,2952000000,5247000000,-422200000,1142503000,1133804000,-155000000,324691000,2134400000,788700000,1772262000,128500000,772000000,600363000,4063400000,9862000000,424858000,579000000,-3131000000,2220000000,1302600000,437630000,664112000,8630000000,1142503000,107223000,-232500000,3047000000,1696700000,2652000,21308000000,273744000,285000000,1372000000,743400000,2079000000,358000000,424858000,1795000000,-1161000000,864000000,752303000,21308000000,817300000,1346000000,159949000,2606000000,140900000,1164000000
netIncomeFromContinuingOps,684000000,4240000000,156890000,521759000,-151000000,1525000000,7925000000,255400000,63991000,1257000000,-564503000,295665000,1907000000,-83000000,2324500000,1813800000,643949000,108263000,439900000,684000000,489345000,1155200000,146130000,-602000000,1340000000,971638000,592000000,-107200000,1795000000,24441000000,556000000,292000000,971772000,1979000000,2912000000,1929000000,6631000000,529000000,991700000,669000000,5089000000,1046000000,306200000,2194000000,703000000,400600000,47520000,512381000,191723000,23451000000,1198511000,18232000000,3270000000,5244000000,-422200000,1142503000,1133804000,-151000000,328379000,1771200000,788700000,1813802000,128600000,772000000,628381000,4192600000,9862000000,424858000,579000000,-262000000,2394000000,1337700000,628541000,664112000,8630000000,1142503000,107223000,465900000,3047000000,1696700000,15244000,21353000000,447962000,319000000,1411000000,754200000,2079000000,367000000,424858000,1795000000,-148000000,864000000,752303000,21353000000,817300000,1346000000,252361000,2606000000,141700000,1412000000
nonRecurring,,,12657000,,,,,17500000,,,2835637000,19711000,,7539000000,,937800000,10535000,,,,,343700000,,1402000000,3000000,,,,132000000,,46000000,29000000,,,,,,,40500000,,18000000,,65600000,,,84400000,35881000,,3011000,,,,315000000,136000000,727600000,,,,19990000,94900000,,2022000,,178000000,1693000,116000000,,,,,115000000,,,,,,24213000,,,,,487000000,4429000,,159000000,,905000000,,,132000000,537000000,19000000,,487000000,,100000000,,89000000,32100000,
operatingIncome,841000000,4749000000,304803000,891263000,1282000000,2610000000,6487000000,936300000,723068000,,-886465000,581443000,2085000000,-4658000000,2252200000,808200000,1027627000,259892000,1077100000,841000000,700260000,1427600000,234680000,713000000,2761000000,1354173000,,465700000,2127000000,35900000000,1064000000,,1210244000,9973000000,4177000000,5921000000,9517000000,1458000000,704900000,989000000,5868000000,731000000,848100000,,1127000000,371900000,193983000,745054000,649109000,,2079591000,,6240000000,7920000000,-437800000,2053171000,1725400000,1282000000,354776000,420100000,1645500000,1766145000,910600000,1054000000,847471000,2195000000,20437000000,761321000,973600000,723000000,,1665300000,1479826000,1132990000,14681000000,2053171000,289961000,758400000,3210000000,2264300000,335422000,13620000000,545902000,637000000,2359000000,732700000,1130000000,229000000,761321000,2127000000,1712000000,1706000000,1280178000,13620000000,1239600000,1507000000,239563000,2809000000,382900000,1582000000
otherItems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otherOperatingExpenses,,,,,,1341000000,,485500000,,225000000,1347187000,34694000,2436000000,7207000000,3893800000,603900000,887948000,,,,49310000,,335431000,330000000,,,30000000,,805000000,5290000000,-50000000,449000000,,,,,,896000000,106700000,,,504000000,,261000000,,192200000,366184000,2152000,522376000,3680000000,,3396000000,553000000,197000000,275100000,,,,493708000,,497600000,206764000,570300000,104000000,743749000,208500000,,,,5761000000,689000000,,89226000,,1811000000,,,666100000,,,,4758000000,76638000,,290000000,,43000000,,,805000000,,91000000,447765000,4758000000,,259000000,334201000,1846000000,79700000,6197000000
researchDevelopment,339000000,,139404000,,568000000,,,529300000,,,,286026000,,,,367400000,,,,339000000,,57800000,,,,,,,953000000,,,,,3562000000,,,,,,,1824000000,,980700000,,135000000,,,639750000,,,2075142000,,,,,,,568000000,,277300000,,,,1232000000,,,,,,,,,,,,,170735000,,1797000000,,,7657000000,,,,,,,,953000000,,382000000,,7657000000,,,,,,
sellingGeneralAdministrative,1229000000,10563000000,616167000,1181641000,1174000000,2155000000,17828000000,452100000,1767483000,3624000000,1014170000,557311000,22479000000,1370000000,124600000,2973900000,155542000,915615000,1043000000,1229000000,1569619000,605100000,28240000,1768000000,160000000,1642241000,1643000000,377100000,9077000000,58434000000,1248000000,966000000,1654552000,5245000000,2010000000,-373000000,,477000000,1392600000,1032000000,726000000,1303000000,1177700000,3990000000,1409000000,347100000,55010000,395680000,984965000,57332000000,1320433000,54743000000,21392000000,5438000000,4060000000,8504336000,2995283000,1174000000,404384000,920900000,166300000,4806280000,1869500000,606000000,52224000,1124200000,106510000000,3681694000,6908800000,,7187000000,2720700000,415575000,1195869000,17864000000,8504336000,373867000,255800000,815000000,4127900000,903864000,14784000000,342339000,327000000,894000000,996900000,2590000000,210000000,3681694000,9077000000,215000000,1334000000,8681922000,14784000000,1911700000,903000000,156849000,2265000000,1247800000,
totalOperatingExpenses,0,0,0,0,0,0,0,1484400000,0,0,0,897742000,0,0,0,4883000000,0,0,0,0,0,0,0,0,0,0,0,0,10967000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2120000000,0,0,0,0,0,0,0,0,0,0,0,0,0,7060900000,0,0,0,27686000000,0,4212000000,0,0,0,0,0,10967000000,0,1826000000,0,27686000000,0,0,0,0,0,0
totalOtherIncomeExpenseNet,41000000,196000000,,3580000,-5000000,117000000,,200000,-11363000,,205248000,21149000,,2369000000,,-16100000,5280000,1474000,5800000,41000000,18335000,29000000,28817000,-168000000,-47000000,-5205000,,46400000,73000000,,-58000000,,5045000,928000000,3000000,-1000000,-208000000,38000000,60000000,3000000,-71000000,363000000,-36300000,,-6000000,3800000,16026000,,-78663000,,24039000,,-291000000,-903000000,1500000,15937000,3753000,-5000000,141760000,67500000,,25545000,-119800000,-17000000,177174000,202100000,-2984000000,,-6800000,,,-31600000,-39807000,1363000,74000000,15937000,5908000,-789300000,47000000,284800000,128632000,-1315000000,-35304000,-212000000,726000000,1800000,,-39000000,,73000000,229000000,-6000000,,-1315000000,5200000,5000000,18968000,55000000,-500000,
totalRevenue,4472000000,34350000000,2256982000,5647224000,6380000000,12033000000,59689000000,3980800000,6471410000,6093000000,10845645000,3398719000,122662000000,29106000000,14093200000,7824100000,3568115000,3616014000,9799300000,4472000000,6920948000,8187600000,993662000,6873000000,5878000000,9491290000,2736000000,7409400000,13094000000,94334000000,2534000000,5179000000,4607471000,22849000000,30973000000,51048000000,184765000000,6177000000,2204200000,2994000000,20322000000,3203000000,5027200000,7713000000,5973000000,2229100000,1005437000,2539004000,3845578000,97741000000,5872227000,100264000000,28500000000,31271000000,7650300000,55371139000,8977726000,6380000000,1528987000,3221600000,7719400000,14983788000,4874600000,10771000000,2471406000,3527700000,500343000000,12349301000,7882400000,16974000000,12156000000,14197600000,3504286000,17120209000,100904000000,55371139000,1800434000,7819300000,9714000000,6340700000,3660831000,52546000000,1903026000,4849000000,22894000000,3776200000,14257000000,4130000000,12349301000,13094000000,10530000000,5307000000,10409865000,52546000000,3151300000,6641000000,984326000,17510000000,1742500000,13735000000
