,A,NKE,PKI,HOG,MSI,ED,PRU,MCHP,HBI,RF,ETR,IFF,KR,COP,PFG,ZBH,VTR,URBN,BWA,A,EXPD,APD,MAC,DISCK,YUM,MHK,ZION,MOS,PYPL,JPM,ETFC,NAVI,ROP,AMGN,GD,LMT,CVS,AEE,AMG,BF-B,MU,SWN,JNPR,FITB,CLX,CBOE,AIV,XLNX,IRM,WFC,REGN,BAC,FOXA,TWX,COTY,SYY,ORLY,MSI,MAA,MNK,ADS,SHW,NI,STX,EQR,CME,WMT,BBBY,IPG,HIG,BBT,IR,TDG,KMX,HD,SYY,FLIR,EVHC,NVDA,BEN,FLS,PFE,TGNA,DLPH,MAR,CHD,LNC,CF,BBBY,PYPL,AES,ZTS,UHS,PFE,PAYX,URI,REG,CCL,DNB,L
longTermInvestments,138000000.0,,,4859424000.0,247000000.0,2001000000.0,466421000000.0,,,105172000000.0,6193759000.0,,,10060000000.0,82713300000.0,,123639000.0,58688000.0,547400000.0,138000000.0,,1286900000.0,1709522000.0,335000000.0,,,61414000000.0,1089500000.0,1961000000.0,1654007000000.0,44518000000.0,108638000000.0,,,,,,704000000.0,3547500000.0,,633000000.0,,988400000.0,124830000000.0,,82700000.0,224873000.0,97896000.0,,1500546000000.0,1486494000.0,1627338000000.0,4445000000.0,3924000000.0,,,,247000000.0,44956000.0,,,,209600000.0,,58254000.0,90100000.0,,19517000.0,,207812000000.0,192310000000.0,,,11535704000.0,,,,156700000.0,,3467400000.0,,7015000000.0,137166000.0,58000000.0,882000000.0,9300000.0,114167000000.0,108000000.0,19517000.0,1961000000.0,1197000000.0,,,7015000000.0,454000000.0,,386304000.0,,1800000.0,47580000000.0
minorityInterest,4000000.0,,,,15000000.0,7000000.0,275000000.0,,,,,5092000.0,-26000000.0,194000000.0,72600000.0,-300000.0,65959000.0,,109100000.0,4000000.0,2515000.0,99300000.0,286421000.0,,,7847000.0,,21600000.0,,26081000000.0,,31000000.0,,,,74000000.0,4000000.0,142000000.0,756300000.0,,849000000.0,,,20000000.0,,,-7391000.0,,1404000.0,1143000000.0,,,1216000000.0,1000000.0,3000000.0,82839000.0,,15000000.0,233982000.0,,,,,,231399000.0,,2953000000.0,,34800000.0,,47000000.0,66600000.0,,,,82839000.0,,829400000.0,,315800000.0,16367000.0,348000000.0,,164000000.0,,,,3105000000.0,,,2380000000.0,16000000.0,61922000.0,348000000.0,,,41002000.0,,16100000.0,5362000000.0
netReceivables,724000000.0,3677000000.0,552304000.0,2435648000.0,1523000000.0,1925000000.0,,563700000.0,903318000.0,1814000000.0,1170167000.0,663663000.0,1637000000.0,4320000000.0,1469800000.0,1494600000.0,1346359000.0,76962000.0,2018900000.0,724000000.0,1414741000.0,1662100000.0,194815000.0,1838000000.0,400000000.0,1558159000.0,,642600000.0,26237000000.0,67729000000.0,12903000000.0,,809661000.0,3237000000.0,8857000000.0,8603000000.0,13181000000.0,838000000.0,433800000.0,557000000.0,3759000000.0,428000000.0,852000000.0,,565000000.0,234500000.0,,372144000.0,835742000.0,,1974340000.0,61623000000.0,6477000000.0,9401000000.0,1470300000.0,4029153000.0,292487000.0,1523000000.0,,599800000.0,18316800000.0,2104555000.0,944700000.0,1199000000.0,,359700000.0,5614000000.0,,6332400000.0,7971000000.0,,2477400000.0,636127000.0,133321000.0,1952000000.0,4029153000.0,346687000.0,1480100000.0,1265000000.0,1001900000.0,856711000.0,11271000000.0,439294000.0,1213000000.0,1991000000.0,345900000.0,5896000000.0,307000000.0,,26237000000.0,1463000000.0,998000000.0,1500898000.0,11271000000.0,543400000.0,1233000000.0,170985000.0,312000000.0,609400000.0,7613000000.0
netTangibleAssets,1863000000.0,11985000000.0,-1845950000.0,1788330000.0,-3541000000.0,14859000000.0,54069000000.0,-681200000.0,-1883662000.0,11111000000.0,7704637000.0,112127000.0,2906000000.0,30607000000.0,10465800000.0,-7286000000.0,8293590000.0,1300903000.0,1342300000.0,1863000000.0,1983931000.0,8996400000.0,3681578000.0,-4233000000.0,-6956000000.0,3695936000.0,6663000000.0,7923900000.0,11487000000.0,201301000000.0,4277000000.0,2644000000.0,-5431967000.0,1871000000.0,-1181000000.0,-15287000000.0,-14390000000.0,6773000000.0,-290000000.0,-24000000.0,17006000000.0,1979000000.0,1456600000.0,13893000000.0,-1376000000.0,-1499400000.0,1663144000.0,2163691000.0,-3173376000.0,180349000000.0,6144078000.0,198195000000.0,-3644000000.0,-6992000000.0,-7666000000.0,-2572123000.0,-136012000.0,-3541000000.0,6339912000.0,-5335700000.0,-2825400000.0,-9124518000.0,2397700000.0,-155000000.0,10242464000.0,-4678800000.0,59627000000.0,2172345000.0,-1619400000.0,11545000000.0,19319000000.0,-2538300000.0,-10414404000.0,3316849000.0,-821000000.0,-2572123000.0,756617000.0,-4674500000.0,6801000000.0,10392300000.0,226350000.0,-33385000000.0,-2857645000.0,-14000000.0,-14281000000.0,-2061400000.0,15954000000.0,1208000000.0,2172345000.0,11487000000.0,1040000000.0,-1009000000.0,1164357000.0,-33385000000.0,1240600000.0,-1851000000.0,6213226000.0,20049000000.0,-2055900000.0,18545000000.0
otherAssets,394000000.0,,244304000.0,95705000.0,333000000.0,4266000000.0,325243000000.0,71800000.0,79618000.0,6182000000.0,7137202000.0,149950000.0,984000000.0,1107000000.0,160603600000.0,388800000.0,572945000.0,,458700000.0,394000000.0,29219000.0,641800000.0,,2789000000.0,346000000.0,,916000000.0,1267500000.0,133000000.0,114770000000.0,983000000.0,4025000000.0,88219000.0,2119000000.0,585000000.0,5570000000.0,1529000000.0,1752000000.0,58100000.0,151000000.0,434000000.0,240000000.0,415500000.0,6975000000.0,210000000.0,59500000.0,288272000.0,342644000.0,133594000.0,119805000000.0,77866000.0,132741000000.0,1394000000.0,3717000000.0,281300000.0,249804000.0,41349000.0,333000000.0,135807000.0,171200000.0,656500000.0,502023000.0,1624900000.0,224000000.0,425065000.0,45947500000.0,11798000000.0,424639000.0,524300000.0,2230000000.0,14235000000.0,824300000.0,53985000.0,158807000.0,1246000000.0,249804000.0,59869000.0,167300000.0,319000000.0,176500000.0,199722000.0,3227000000.0,,279000000.0,421000000.0,118200000.0,150301000000.0,344000000.0,424639000.0,133000000.0,3666000000.0,75000000.0,554038000.0,3227000000.0,55800000.0,10000000.0,427127000.0,585000000.0,60800000.0,2555000000.0
otherCurrentAssets,192000000.0,1150000000.0,93842000.0,175853000.0,832000000.0,434000000.0,,119800000.0,186496000.0,,448134000.0,215387000.0,2600000000.0,1035000000.0,,414500000.0,,103055000.0,212700000.0,192000000.0,75612000.0,201600000.0,,844000000.0,371000000.0,481261000.0,,273200000.0,713000000.0,,,,73481000.0,1727000000.0,1185000000.0,1510000000.0,945000000.0,242000000.0,,342000000.0,147000000.0,165000000.0,299900000.0,,72000000.0,9400000.0,,88695000.0,188874000.0,,224972000.0,,545000000.0,796000000.0,487900000.0,139185000.0,49037000.0,832000000.0,,84100000.0,1375200000.0,355697000.0,309100000.0,321000000.0,,,3511000000.0,516025000.0,340800000.0,,,536900000.0,116183000.0,93462000.0,638000000.0,139185000.0,149259000.0,2869400000.0,86000000.0,,114316000.0,2301000000.0,98828000.0,3000000.0,373000000.0,44700000.0,,48000000.0,516025000.0,713000000.0,2726000000.0,228000000.0,86504000.0,2301000000.0,103300000.0,112000000.0,,502000000.0,41900000.0,
otherCurrentLiab,291000000.0,,10861000.0,,,1368000000.0,,333800000.0,125209000.0,96889000000.0,686900000.0,376160000.0,3680000000.0,,,1299800000.0,,,29500000.0,291000000.0,,15700000.0,,255000000.0,,,52621000000.0,,,1443982000000.0,42742000000.0,,566447000.0,,2898000000.0,1883000000.0,,562000000.0,,,408000000.0,24000000.0,1030300000.0,103162000000.0,,72000000.0,,25166000.0,241590000.0,1335991000000.0,320405000.0,1309545000000.0,580000000.0,711000000.0,,,239187000.0,,,,7581500000.0,,353400000.0,,,45641600000.0,,335081000.0,8800000.0,,157371000000.0,,17304000.0,,1805000000.0,,80313000.0,446900000.0,,,,11115000000.0,105040000.0,198000000.0,2064000000.0,,,17000000.0,335081000.0,,1033000000.0,44000000.0,,11115000000.0,4387400000.0,,,3958000000.0,684400000.0,
otherLiab,527000000.0,,848570000.0,382967000.0,2585000000.0,7224000000.0,736671000000.0,995800000.0,727774000.0,2581000000.0,12204670000.0,471334000.0,2498000000.0,10754000000.0,236590900000.0,1189800000.0,61202000.0,,1432800000.0,527000000.0,29516000.0,1611900000.0,,587000000.0,704000000.0,455028000.0,629000000.0,967800000.0,,,800000000.0,1723000000.0,239172000.0,10337000000.0,6532000000.0,20980000000.0,1611000000.0,5570000000.0,989600000.0,444000000.0,639000000.0,371000000.0,769400000.0,2144000000.0,770000000.0,85600000.0,,573734000.0,73039000.0,,152073000.0,,3616000000.0,6375000000.0,1022600000.0,1373822000.0,207677000.0,2585000000.0,,598600000.0,4935600000.0,959118000.0,3617200000.0,257000000.0,341852000.0,46257300000.0,,62823000.0,766900000.0,206768000000.0,,2423900000.0,161302000.0,242553000.0,2174000000.0,1373822000.0,147355000.0,1557700000.0,632000000.0,273400000.0,496954000.0,13579000000.0,252365000.0,650000000.0,5763000000.0,,252918000000.0,460000000.0,62823000.0,,2595000000.0,201000000.0,306304000.0,13579000000.0,119400000.0,120000000.0,583414000.0,769000000.0,594100000.0,42678000000.0
otherStockholderEquity,-346000000.0,-213000000.0,-46518000.0,-500049000.0,-2562000000.0,,17074000000.0,-17600000.0,-439206000.0,-749000000.0,-34971000.0,-637482000.0,-471000000.0,-5518000000.0,165500000.0,-83200000.0,-35120000.0,-10651000.0,-490000000.0,-346000000.0,-73964000.0,-1847400000.0,-42000.0,-585000000.0,-271000000.0,-558527000.0,-139000000.0,-1061600000.0,-142000000.0,-140000000.0,-26000000.0,61000000.0,-186214000.0,-679000000.0,-2820000000.0,-12540000000.0,-196000000.0,-18000000.0,-21800000.0,-390000000.0,29000000.0,-44000000.0,-5400000.0,73000000.0,-543000000.0,50700000.0,3603000.0,-34509000.0,-103989000.0,-3822000000.0,640000.0,-7082000000.0,-2018000000.0,-1437000000.0,4400000.0,-1262737000.0,,-2562000000.0,2157000.0,-12900000.0,-140200000.0,2338313000.0,-43400000.0,-17000000.0,-88612000.0,14300000.0,-10181000000.0,-48296000.0,-827400000.0,663000000.0,-1467000000.0,-778800000.0,-85143000.0,-54312000.0,-566000000.0,-1262737000.0,-113360000.0,-4200000.0,-18000000.0,-284800000.0,-499119000.0,-9321000000.0,-106923000.0,-371000000.0,-17000000.0,-36400000.0,3230000000.0,-263000000.0,-48296000.0,-142000000.0,-1876000000.0,-505000000.0,-364637000.0,-9321000000.0,20000000.0,-151000000.0,-6289000.0,-1782000000.0,-1016900000.0,-26000000.0
propertyPlantEquipment,757000000.0,3989000000.0,298066000.0,967781000.0,856000000.0,37600000000.0,,767900000.0,623991000.0,2064000000.0,28155048000.0,880580000.0,21071000000.0,45683000000.0,759500000.0,2038600000.0,19050385000.0,813768000.0,2863800000.0,757000000.0,525203000.0,9572000000.0,7109230000.0,597000000.0,1697000000.0,4270790000.0,1098000000.0,9711700000.0,1528000000.0,14159000000.0,253000000.0,,142535000.0,4989000000.0,3517000000.0,5775000000.0,10292000000.0,21466000000.0,111000000.0,713000000.0,19431000000.0,5772000000.0,1021100000.0,2649000000.0,931000000.0,78800000.0,5405395000.0,304117000.0,3417679000.0,8847000000.0,2358605000.0,9247000000.0,9233000000.0,10982000000.0,1632100000.0,4377302000.0,3343806000.0,856000000.0,11216968000.0,966800000.0,613900000.0,1877115000.0,14359500000.0,1875000000.0,19986518000.0,399700000.0,114818000000.0,1909289000.0,650400000.0,1034000000.0,2055000000.0,1551300000.0,324924000.0,2667061000.0,22075000000.0,4377302000.0,263996000.0,302700000.0,997000000.0,517200000.0,671796000.0,13865000000.0,335340000.0,1316000000.0,1793000000.0,607700000.0,,9175000000.0,1909289000.0,1528000000.0,20296000000.0,1435000000.0,4571837000.0,13865000000.0,337200000.0,8291000000.0,9553050000.0,34430000000.0,38900000.0,15427000000.0
