Period,Receipts,Outlays,Deficit/Surplus (-),Borrowing from the Public,Reduction of Operating Cash,By Other Means
01/16/16,"313,579","258,416","-55,163","-14,755","-36,734","-3,674"
02/16/16,"169,147","r361,757","r192,610","127,058","97,823","-32,269"
03/16/16,"227,848","335,891","108,043","138,698","-41,476","10,820"
04/16/16,"438,432","331,980","-106,452","-83,706","-25,256","2,511"
05/16/16,"224,603","277,111","52,507","45,221","40,675","-33,388"
06/16/16,"329,572","323,320","-6,252","46,080","-65,245","12,913"
07/16/16,"209,998","r322,817","112,819","66,778","29,914","16,123"
08/16/16,"231,327","338,438","107,112","105,761","44,802","-43,452"
09/16/16,"356,623r","323,178","-33,445","68,480","-64,365","-37,474"
10/16/16,"221,692","267,523","45,831","112,656","-68,256",-208
11/16/16,"199,875","r336,544","r136,669","156,727",-467,"-19,609"
12/16/16,"319,204","r346,541","27,337","-10,115","22,844","14,787"
01/17/17,"344,069","292,812","-51,257","-59,634","26,462","-18,086"
02/17/17,"171,713","363,757","192,044","34,805","183,441","-26,201"
03/17/17,"216,584","392,816","176,233","-43,262","97,081","122,413"
04/17/17,"455,605","273,177","-182,428","-76,244","-180,380","74,196"
05/17/17,"240,418","r328,841","88,423","5,134","82,754",538
06/17/17,"338,660","428,894","90,233","67,452","8,714","14,067"
07/17/17,"232,040","274,980","42,939","-5,236","-7,906","56,082"
08/17/17,"226,311","334,000","107,689","23,797","133,622","-49,731"
09/17/17,"348,722","r340,837","-7,886","292,221","-103,921","-196,301"
10/17/17,"235,341","298,555","63,214","77,450","-17,533","3,296"
11/17/17,"208,374","346,922","138,547","166,318","-6,302","-21,468"
12/17/17,"325,797","348,989","23,192","-104,313","-45,777","173,283"
01/17/18,"361,038","r311,801","-49,237","-13,375","-46,861","11,000"
02/17/18,"155,623","r370,862","215,239","345,945","76,405","-207,102"
03/17/18,"210,832","419,576","208,743","276,202","-90,258","22,799"
04/17/18,"510,447","296,192","-214,255","-90,029","-129,728","5,502"
05/17/18,"217,075","363,871","146,796","93,766","64,983","-11,952"
06/18/18,"316,278","391,136","74,858","39,349","21,588","13,921"
07/18/18,"225,266","302,131","76,865","103,330","-25,354","-1,110"
08/01/18,"219,115","433,263","214,148","214,260","40,189","-40,301"
09/01/18,"343,559","224,443","-119,116","-24,436","-66,742","-27,938"
10/01/18,"252,692","353,183","100,491","80,897","18,116","1,478"
11/01/18,"205,961","410,864","204,903","200,137","21,723","-16,957"
12/01/18,"312,584","326,123","13,539","58,595","-57,264","12,208"
01/01/19,"339,980","331,299","-8,681",103,"-1,459","-7,326"
02/01/19,"167,265","401,243","233,977","149,613","112,933","-28,569"
03/01/19,"228,811","375,756","146,945","-45,932","-43,348","236,224"
04/01/19,"535,545","375,240","-160,305","-12,194","-88,573","-59,537"
05/01/19,"232,064","439,833","207,768","9,497","189,711","8,560"
06/01/19,"333,952","342,430","8,477","-12,337","-30,835","51,649"
07/01/19,"251,348","371,044","119,696","24,422","87,047","8,227"
08/01/19,"227,965","428,309","200,344","386,186","43,571","-229,413"
09/01/19,"374,028","291,260","-82,768","212,619","-249,392","-45,994"
10/01/19,"245,521","379,988","134,467","159,836","-52,458","27,090"
11/01/19,"225,185","434,024","208,838","125,462","92,324","-8,948"
12/01/19,"335,805","r349,091","13,286","65,767","-61,235","8,740"
01/01/20,"372,288","r404,883","32,595","41,898",-131,"-9,174"
02/01/20,"187,951","r423,229","235,278","200,119","46,732","-11,516"
03/01/20,"236,766","r355,754","118,988","267,964","-158,006","9,167"
04/01/20,"241,863","r979,885","738,022","1,386,528","-664,778","16,100"
05/01/20,"173,861","r572,614","398,754","759,988","-269,095","-92,072"
06/01/20,"240,829","1,104,903","864,074","716,272","-272,903","420,705"
07/01/20,"563,496","626,487","62,992","106,415","-41,058","-2,365"
08/01/20,"223,221","423,233","200,012","188,752","57,108","-45,764"
09/01/20,"373,169","497,780","124,611","197,279","-75,697","3,029"
10/01/20,"237,698","521,769","284,071","78,616","182,881","22,574"
11/01/20,"219,553","364,819","145,266","251,250","-24,188","-81,796"
12/01/20,"346,119","489,682","143,562","284,064","-105,583","-34,919"
01/01/21,"384,651","547,483","162,832","11,544","117,217","34,071"
02/01/21,"248,314","559,236","310,922","110,206","196,886","3,829"
03/01/21,"267,614","927,217","659,603","226,219","292,515","140,858"
04/01/21,"439,186","664,766","225,579","65,521","151,234","8,824"
05/01/21,"463,745","595,698","131,953","-30,179","194,017","-31,884"
06/01/21,"449,199","623,359","174,161","311,416","-75,229","-62,027"
07/01/21,"262,000","564,050","302,050","-40,279","392,526","-50,194"
08/01/21,"268,378","439,013","170,635","-30,375","103,418","97,592"
